127.0.0.1 - - [21/Feb/2017:11:30:07 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:36 +0530] "GET /OrganoCart/resources/Pimage/p1003.jpg HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:36 +0530] "GET /OrganoCart/resources/Pimage/p1004.jpg HTTP/1.1" 200 15654
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:36 +0530] "GET /OrganoCart/resources/Pimage/p1005.jpg HTTP/1.1" 200 10450
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:36 +0530] "GET /OrganoCart/resources/Pimage/p1009.jpg HTTP/1.1" 200 24746
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:36 +0530] "GET /OrganoCart/resources/Pimage/p1010.jpg HTTP/1.1" 200 165371
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:36 +0530] "GET /OrganoCart/resources/Pimage/p1011.jpg HTTP/1.1" 200 188682
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:36 +0530] "GET /OrganoCart/resources/Pimage/p1012.jpg HTTP/1.1" 200 15212
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:36 +0530] "GET /OrganoCart/resources/Pimage/p1008.jpg HTTP/1.1" 200 17473
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:38 +0530] "GET /OrganoCart/addtocart?getProductId=p1002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:38 +0530] "GET /OrganoCart/buyproductpage HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:38 +0530] "GET /OrganoCart/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 25371
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:38 +0530] "GET /OrganoCart/resources/js/angular.js HTTP/1.1" 200 975809
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:38 +0530] "GET /OrganoCart/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:38 +0530] "GET /OrganoCart/resources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:38 +0530] "GET /OrganoCart/resources/js/jquery.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:38 +0530] "GET /OrganoCart/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:38 +0530] "GET /OrganoCart/resources/css/animate.css HTTP/1.1" 200 75599
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:38 +0530] "GET /OrganoCart/resources/css/font-awesome.css HTTP/1.1" 200 37414
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:38 +0530] "GET /OrganoCart/resources/Pimage/%7B%7Bp.ProductId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:38 +0530] "GET /OrganoCart/resources/js/angular.js HTTP/1.1" 200 975809
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/Pimage/%7B%7Bp.ProductId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/img/leaveslogo.png HTTP/1.1" 200 5298
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/img/social/twitter.png HTTP/1.1" 200 5393
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/img/social/googleplus.png HTTP/1.1" 200 5526
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/img/social/dribbble.png HTTP/1.1" 200 5785
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/img/social/rss.png HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/Pimage/p1001.jpg HTTP/1.1" 200 10297
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/Pimage/p1003.jpg HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/Pimage/p1004.jpg HTTP/1.1" 200 15654
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/Pimage/p1005.jpg HTTP/1.1" 200 10450
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/Pimage/p1007.jpg HTTP/1.1" 200 411742
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/Pimage/p1002.jpg HTTP/1.1" 200 10297
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/Pimage/p1008.jpg HTTP/1.1" 200 17473
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/Pimage/p1012.jpg HTTP/1.1" 200 15212
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/Pimage/p1010.jpg HTTP/1.1" 200 165371
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/Pimage/p1011.jpg HTTP/1.1" 200 188682
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:39 +0530] "GET /OrganoCart/resources/Pimage/p1009.jpg HTTP/1.1" 200 24746
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/addtocart?getProductId=p1003 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/buyproductpage HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/css/animate.css HTTP/1.1" 200 75599
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 25371
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/js/jquery.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/css/font-awesome.css HTTP/1.1" 200 37414
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/js/angular.js HTTP/1.1" 200 975809
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/Pimage/%7B%7Bp.ProductId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/js/angular.js HTTP/1.1" 200 975809
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/Pimage/%7B%7Bp.ProductId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/img/leaveslogo.png HTTP/1.1" 200 5298
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/img/social/dribbble.png HTTP/1.1" 200 5785
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/img/social/googleplus.png HTTP/1.1" 200 5526
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/img/social/twitter.png HTTP/1.1" 200 5393
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/img/social/rss.png HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/Pimage/p1003.jpg HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/Pimage/p1001.jpg HTTP/1.1" 200 10297
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/Pimage/p1002.jpg HTTP/1.1" 200 10297
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/Pimage/p1004.jpg HTTP/1.1" 200 15654
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/Pimage/p1007.jpg HTTP/1.1" 200 411742
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/Pimage/p1008.jpg HTTP/1.1" 200 17473
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/Pimage/p1005.jpg HTTP/1.1" 200 10450
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/Pimage/p1010.jpg HTTP/1.1" 200 165371
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/Pimage/p1009.jpg HTTP/1.1" 200 24746
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/Pimage/p1012.jpg HTTP/1.1" 200 15212
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:42 +0530] "GET /OrganoCart/resources/Pimage/p1011.jpg HTTP/1.1" 200 188682
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:45 +0530] "GET /OrganoCart/addtocart?getProductId=p1001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:45 +0530] "GET /OrganoCart/buyproductpage HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:45 +0530] "GET /OrganoCart/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 25371
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:45 +0530] "GET /OrganoCart/resources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:45 +0530] "GET /OrganoCart/resources/css/animate.css HTTP/1.1" 200 75599
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:45 +0530] "GET /OrganoCart/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:45 +0530] "GET /OrganoCart/resources/css/font-awesome.css HTTP/1.1" 200 37414
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:45 +0530] "GET /OrganoCart/resources/js/jquery.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:45 +0530] "GET /OrganoCart/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:45 +0530] "GET /OrganoCart/resources/js/angular.js HTTP/1.1" 200 975809
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:45 +0530] "GET /OrganoCart/resources/Pimage/%7B%7Bp.ProductId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/js/angular.js HTTP/1.1" 200 975809
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/img/social/googleplus.png HTTP/1.1" 200 5526
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/img/leaveslogo.png HTTP/1.1" 200 5298
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/Pimage/%7B%7Bp.ProductId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/img/social/dribbble.png HTTP/1.1" 200 5785
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/img/social/twitter.png HTTP/1.1" 200 5393
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/img/social/rss.png HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/Pimage/p1001.jpg HTTP/1.1" 200 10297
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/Pimage/p1003.jpg HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/Pimage/p1005.jpg HTTP/1.1" 200 10450
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/Pimage/p1008.jpg HTTP/1.1" 200 17473
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/Pimage/p1009.jpg HTTP/1.1" 200 24746
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/Pimage/p1012.jpg HTTP/1.1" 200 15212
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/Pimage/p1002.jpg HTTP/1.1" 200 10297
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/Pimage/p1011.jpg HTTP/1.1" 200 188682
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/Pimage/p1004.jpg HTTP/1.1" 200 15654
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/Pimage/p1010.jpg HTTP/1.1" 200 165371
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:46 +0530] "GET /OrganoCart/resources/Pimage/p1007.jpg HTTP/1.1" 200 411742
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:52 +0530] "GET /OrganoCart/addtocart?getProductId=p1009 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:52 +0530] "GET /OrganoCart/buyproductpage HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:52 +0530] "GET /OrganoCart/resources/css/font-awesome.css HTTP/1.1" 200 37414
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:52 +0530] "GET /OrganoCart/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:52 +0530] "GET /OrganoCart/resources/css/animate.css HTTP/1.1" 200 75599
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:52 +0530] "GET /OrganoCart/resources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:52 +0530] "GET /OrganoCart/resources/js/jquery.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:52 +0530] "GET /OrganoCart/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:52 +0530] "GET /OrganoCart/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 25371
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:52 +0530] "GET /OrganoCart/resources/js/angular.js HTTP/1.1" 200 975809
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:52 +0530] "GET /OrganoCart/resources/Pimage/%7B%7Bp.ProductId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/js/angular.js HTTP/1.1" 200 975809
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/Pimage/%7B%7Bp.ProductId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/img/leaveslogo.png HTTP/1.1" 200 5298
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/img/social/googleplus.png HTTP/1.1" 200 5526
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/img/social/dribbble.png HTTP/1.1" 200 5785
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/img/social/twitter.png HTTP/1.1" 200 5393
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/img/social/rss.png HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/Pimage/p1002.jpg HTTP/1.1" 200 10297
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/Pimage/p1004.jpg HTTP/1.1" 200 15654
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/Pimage/p1007.jpg HTTP/1.1" 200 411742
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/Pimage/p1001.jpg HTTP/1.1" 200 10297
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/Pimage/p1003.jpg HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/Pimage/p1005.jpg HTTP/1.1" 200 10450
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/Pimage/p1009.jpg HTTP/1.1" 200 24746
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/Pimage/p1012.jpg HTTP/1.1" 200 15212
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/Pimage/p1008.jpg HTTP/1.1" 200 17473
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/Pimage/p1010.jpg HTTP/1.1" 200 165371
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:34:53 +0530] "GET /OrganoCart/resources/Pimage/p1011.jpg HTTP/1.1" 200 188682
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/addtocart?getProductId=p1010 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/buyproductpage HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/resources/css/animate.css HTTP/1.1" 200 75599
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 25371
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/resources/css/font-awesome.css HTTP/1.1" 200 37414
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/resources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/resources/js/jquery.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/resources/js/angular.js HTTP/1.1" 200 975809
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/resources/Pimage/%7B%7Bp.ProductId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/resources/js/angular.js HTTP/1.1" 200 975809
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/resources/Pimage/%7B%7Bp.ProductId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/resources/img/leaveslogo.png HTTP/1.1" 200 5298
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/resources/img/social/googleplus.png HTTP/1.1" 200 5526
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/resources/img/social/dribbble.png HTTP/1.1" 200 5785
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/resources/img/social/twitter.png HTTP/1.1" 200 5393
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:01 +0530] "GET /OrganoCart/resources/img/social/rss.png HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:02 +0530] "GET /OrganoCart/resources/Pimage/p1001.jpg HTTP/1.1" 200 10297
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:02 +0530] "GET /OrganoCart/resources/Pimage/p1003.jpg HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:02 +0530] "GET /OrganoCart/resources/Pimage/p1005.jpg HTTP/1.1" 200 10450
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:02 +0530] "GET /OrganoCart/resources/Pimage/p1002.jpg HTTP/1.1" 200 10297
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:02 +0530] "GET /OrganoCart/resources/Pimage/p1004.jpg HTTP/1.1" 200 15654
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:02 +0530] "GET /OrganoCart/resources/Pimage/p1008.jpg HTTP/1.1" 200 17473
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:02 +0530] "GET /OrganoCart/resources/Pimage/p1012.jpg HTTP/1.1" 200 15212
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:02 +0530] "GET /OrganoCart/resources/Pimage/p1009.jpg HTTP/1.1" 200 24746
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:02 +0530] "GET /OrganoCart/resources/Pimage/p1007.jpg HTTP/1.1" 200 411742
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:02 +0530] "GET /OrganoCart/resources/Pimage/p1010.jpg HTTP/1.1" 200 165371
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:02 +0530] "GET /OrganoCart/resources/Pimage/p1011.jpg HTTP/1.1" 200 188682
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:16 +0530] "GET /OrganoCart/addtocart?getProductId=p1011 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:16 +0530] "GET /OrganoCart/buyproductpage HTTP/1.1" 200 9765
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:16 +0530] "GET /OrganoCart/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:16 +0530] "GET /OrganoCart/resources/css/font-awesome.css HTTP/1.1" 200 37414
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:16 +0530] "GET /OrganoCart/resources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:16 +0530] "GET /OrganoCart/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 25371
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:16 +0530] "GET /OrganoCart/resources/css/animate.css HTTP/1.1" 200 75599
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:16 +0530] "GET /OrganoCart/resources/js/jquery.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:16 +0530] "GET /OrganoCart/resources/js/angular.js HTTP/1.1" 200 975809
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:16 +0530] "GET /OrganoCart/resources/Pimage/%7B%7Bp.ProductId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:16 +0530] "GET /OrganoCart/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:17 +0530] "GET /OrganoCart/resources/js/angular.js HTTP/1.1" 200 975809
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:17 +0530] "GET /OrganoCart/resources/Pimage/%7B%7Bp.ProductId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:17 +0530] "GET /OrganoCart/resources/img/leaveslogo.png HTTP/1.1" 200 5298
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:17 +0530] "GET /OrganoCart/resources/img/social/twitter.png HTTP/1.1" 200 5393
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:17 +0530] "GET /OrganoCart/resources/img/social/googleplus.png HTTP/1.1" 200 5526
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:17 +0530] "GET /OrganoCart/resources/img/social/dribbble.png HTTP/1.1" 200 5785
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:17 +0530] "GET /OrganoCart/resources/img/social/rss.png HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:17 +0530] "GET /OrganoCart/resources/Pimage/p1001.jpg HTTP/1.1" 200 10297
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:17 +0530] "GET /OrganoCart/resources/Pimage/p1003.jpg HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:17 +0530] "GET /OrganoCart/resources/Pimage/p1005.jpg HTTP/1.1" 200 10450
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:17 +0530] "GET /OrganoCart/resources/Pimage/p1002.jpg HTTP/1.1" 200 10297
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:17 +0530] "GET /OrganoCart/resources/Pimage/p1004.jpg HTTP/1.1" 200 15654
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:17 +0530] "GET /OrganoCart/resources/Pimage/p1008.jpg HTTP/1.1" 200 17473
0:0:0:0:0:0:0:1 - - [21/Feb/2017:11:35:17 +0530] "GET /OrganoCart/resources/Pimage/p1009.jpg HTTP/1.1" 200 24746
